event_id,event_name,event_status,prize_pool,event_dates,event_country,event_image_url
330,Champions Tour CIS Stage 1: Challengers 2,completed,21243.0,Feb 23 28,ru,https://owcdn.net/img/6009f963577f4.png
325,Champions Tour Hong Kong & Taiwan Stage 1: Challengers 2,completed,5000.0,Feb 19 28,tw,https://owcdn.net/img/6009f963577f4.png
295,Champions Tour Indonesia Stage 1: Challengers 2,completed,5912.0,Feb 19 28,id,https://owcdn.net/img/6009f963577f4.png
331,Champions Tour Japan Stage 1: Challengers 2,completed,0.0,Feb 26 28,jp,https://owcdn.net/img/6009f963577f4.png
293,Champions Tour Malaysia & Singapore Stage 1: Challengers 2,completed,3116.0,Feb 19 27,my,https://owcdn.net/img/6009f963577f4.png
318,Champions Tour Thailand Stage 1: Challengers 2,completed,2964.0,Feb 18 27,th,https://owcdn.net/img/6009f963577f4.png
306,Champions Tour North America Stage 1: Challengers 2,completed,50000.0,Feb 11 23,us,https://owcdn.net/img/6009f963577f4.png
302,Champions Tour LATAM Stage 1: Challengers 2,completed,4500.0,Feb 2 21,un,https://owcdn.net/img/6009f963577f4.png
301,Champions Tour Brazil Stage 1: Challengers 2,completed,9115.0,Feb 8 21,br,https://owcdn.net/img/6009f963577f4.png
320,Champions Tour Europe Stage 1: Challengers 2,completed,42210.0,Feb 16 21,eu,https://owcdn.net/img/6009f963577f4.png
307,Champions Tour Korea Stage 1: Challengers 2,completed,17966.0,Feb 8 21,kr,https://owcdn.net/img/6009f963577f4.png
316,Champions Tour Japan Stage 1: Challengers 1,completed,0.0,Feb 19 21,jp,https://owcdn.net/img/6009f963577f4.png
317,Champions Tour Philippines Stage 1: Challengers 2,completed,4374.0,Feb 12 21,ph,https://owcdn.net/img/6009f963577f4.png
311,Champions Tour Turkey Stage 1: Challengers 1,completed,12115.0,Feb 11 14,tr,https://owcdn.net/img/6009f963577f4.png
300,Champions Tour CIS Stage 1: Challengers 1,completed,12115.0,Feb 11 14,ru,https://owcdn.net/img/6009f963577f4.png
291,Champions Tour North America Stage 1: Challengers 1,completed,50000.0,Jan 27 Feb 7,us,https://owcdn.net/img/6009f963577f4.png
292,Champions Tour Brazil Stage 1: Challengers 1,completed,9309.0,Jan 25 Feb 7,br,https://owcdn.net/img/6009f963577f4.png
290,Champions Tour Europe Stage 1: Challengers 1,completed,21080.0,Feb 4 7,eu,https://owcdn.net/img/6009f963577f4.png
321,Champions Tour Hong Kong & Taiwan Stage 1: Challengers 1,completed,5000.0,Jan 30 Feb 7,tw,https://owcdn.net/img/6009f963577f4.png
298,Champions Tour Korea Stage 1: Challengers 1,completed,17813.0,Jan 29 Feb 7,kr,https://owcdn.net/img/6009f963577f4.png
287,Champions Tour Indonesia Stage 1: Challengers 1,completed,3277.0,Jan 30 Feb 7,id,https://owcdn.net/img/6009f963577f4.png
304,Champions Tour Philippines Stage 1: Challengers 1,completed,730.0,Feb 5 7,ph,https://owcdn.net/img/6009f963577f4.png
303,Champions Tour Thailand Stage 1: Challengers 1,completed,3000.0,Jan 28 Feb 6,th,https://owcdn.net/img/6009f963577f4.png
277,Champions Tour Malaysia & Singapore Stage 1: Challengers 1,completed,3116.0,Jan 29 Feb 6,my,https://owcdn.net/img/6009f963577f4.png
285,Champions Tour LATAM Stage 1: Challengers 1,completed,4500.0,Jan 18 31,un,https://owcdn.net/img/6009f963577f4.png
