match_id,team1_name,team2_name,team1_country,team2_country,team1_score,team2_score,team1_won,team2_won,winner,match_date,status,event,tournament
535402,Twisted Minds,ULF Esports,sa,tr,1,2,False,True,ULF Esports,2025-09-14 13:13:50.675782,Completed,Playoffs–Upper Semifinals,Challengers 2025: EMEA Stage 3
535401,Mandatory,DNSTY,fr,it,1,2,False,True,DNSTY,2025-09-14 13:13:50.675782,Completed,Playoffs–Upper Semifinals,Challengers 2025: EMEA Stage 3
521249,NAOS,FULL SENSE,ph,th,1,3,False,True,FULL SENSE,2025-09-14 13:13:50.675782,Completed,Playoffs–Lower Final,Challengers 2025: Southeast Asia Split 3
538576,FunPlus Phoenix,Wolves Esports,cn,cn,0,3,False,True,Wolves Esports,2025-09-14 13:13:50.675782,Completed,Main Event–Consolation Final,China Evolution Series: Act 3
528187,FEARX,SLT Seongnam,kr,kr,1,3,False,True,SLT Seongnam,2025-09-14 13:13:50.675782,Completed,Main Event–Grand Final,Challengers 2025: Korea WDG Road to Ascension
531688,Team Solid,RED Canids,br,br,1,2,False,True,RED Canids,2025-09-13 13:13:50.675782,Completed,Main Event–Upper Final,Challengers 2025: Brazil Gamers Club Last Chance Qualifier
543171,SaD Esports,Prosperity Esports,us,us,2,1,True,False,SaD Esports,2025-09-13 13:13:50.675782,Completed,Promotion/Relegation–Round 2,Challengers 2025: North America ACE Stage 3
532274,ShindeN,Six Karma,ar,mx,2,0,True,False,ShindeN,2025-09-13 13:13:50.675782,Completed,Main Event–Opening,Challengers 2025: Latin America Finals
531689,Los Grandes,Corinthians Esports,br,br,2,0,True,False,Los Grandes,2025-09-13 13:13:50.675782,Completed,Main Event–Lower Round 1,Challengers 2025: Brazil Gamers Club Last Chance Qualifier
543170,Shopify Rebellion Gold,Burger Boyz,ca,us,1,2,False,True,Burger Boyz,2025-09-13 13:13:50.675782,Completed,Promotion/Relegation–Round 2,Challengers 2025: North America ACE Stage 3
532273,E-Xolos LAZER,9z Team,co,cl,1,2,False,True,9z Team,2025-09-13 13:13:50.675782,Completed,Main Event–Opening,Challengers 2025: Latin America Finals
538442,ULF Esports,děti ulice,tr,eu,2,1,True,False,ULF Esports,2025-09-13 13:13:50.675782,Completed,Group Stage–Day 5,Challengers 2025: EMEA Stage 3
521246,Motiv Esports,NAOS,sg,ph,2,0,True,False,Motiv Esports,2025-09-13 13:13:50.675782,Completed,Playoffs–Upper Final,Challengers 2025: Southeast Asia Split 3
538441,BOARS,Twisted Minds,ua,sa,0,2,False,True,Twisted Minds,2025-09-13 13:13:50.675782,Completed,Group Stage–Day 5,Challengers 2025: EMEA Stage 3
538574,JDG Esports,Wolves Esports,cn,cn,2,1,True,False,JDG Esports,2025-09-13 13:13:50.675782,Completed,Main Event–Semifinals,China Evolution Series: Act 3
521248,FULL SENSE,Team NKT,th,th,2,1,True,False,FULL SENSE,2025-09-13 13:13:50.675782,Completed,Playoffs–Lower Round 1,Challengers 2025: Southeast Asia Split 3
