team,played,wins,losses,win_rate
University War GC,17,0,0,0.0
Corinthians Esports Inclusivo,16,0,0,0.0
Digital Athletics,16,0,0,0.0
Disguised,16,0,0,0.0
Fancy United Esports,16,0,0,0.0
Grêmio Esports,16,0,0,0.0
Permitta Unicorns,16,0,0,0.0
S8UL Esports,16,0,0,0.0
Xipto Esports GC,16,0,0,0.0
2Game Academy,15,0,0,0.0
BLVKHVND,15,0,0,0.0
Delight,15,0,0,0.0
E-KING,15,0,0,0.0
Formulation Gaming,15,0,0,0.0
Funhavers,15,0,0,0.0
Ghost Gaming,15,0,0,0.0
KOI,15,0,0,0.0
KTANA Esports,15,0,0,0.0
Made in Thailand,15,0,0,0.0
Melilla Titans,15,0,0,0.0
Nottingham Miedo,15,0,0,0.0
Revenant XSpark,15,0,0,0.0
SHERPA,15,0,0,0.0
TALON Academy,15,0,0,0.0
Team Secret Academy,15,0,0,0.0
ZETA DIVISION Academy,15,0,0,0.0
AlQadsiah Esports,14,0,0,0.0
DFM Academy,14,0,0,0.0
ESC Gaming,14,0,0,0.0
FURIA Academy,14,0,0,0.0
GoNext Esports,14,0,0,0.0
La Masia,14,0,0,0.0
Prosperity Esports,14,0,0,0.0
RETA Esports,14,0,0,0.0
RIZON,14,0,0,0.0
SAGAZ,14,0,0,0.0
TBS Esports GC,14,0,0,0.0
Team RA'AD,14,0,0,0.0
DimoniX eSports,13,0,0,0.0
Gamax Esports,13,0,0,0.0
Maryville University,13,0,0,0.0
Oblivion Force,13,0,0,0.0
SLTitans Esports,13,0,0,0.0
Szach Mat,13,0,0,0.0
Team Galaga,13,0,0,0.0
Teddy Tactics,13,0,0,0.0
VALIANT GC,13,0,0,0.0
ZETA DIVISION GC,13,0,0,0.0
2Game Esports GC,12,0,0,0.0
Contra GC,12,0,0,0.0
DUPG Esports,12,0,0,0.0
IGZIST,12,0,0,0.0
Landor,12,0,0,0.0
Lotus Knights,12,0,0,0.0
Mogo eSports,12,0,0,0.0
NXT,12,0,0,0.0
Oasis Gaming,12,0,0,0.0
THE 7,12,0,0,0.0
Teevee,12,0,0,0.0
True Rippers,12,0,0,0.0
All Knights,11,0,0,0.0
BOBO,11,0,0,0.0
Bigetron Arctic,11,0,0,0.0
CICADAS Gaming,11,0,0,0.0
DVM Esport,11,0,0,0.0
FENNEL GC,11,0,0,0.0
FN Pocheon,11,0,0,0.0
FOCUSGG,11,0,0,0.0
Full House,11,0,0,0.0
RANKERS,11,0,0,0.0
Team NKT,11,0,0,0.0
Ambitious Legend Gaming GC,10,0,0,0.0
Antares Esports,10,0,0,0.0
BOARS,10,0,0,0.0
CINTANEGRA Esports,10,0,0,0.0
GMBLERS Esports,10,0,0,0.0
Imperium Gaming,10,0,0,0.0
LOUD GC,10,0,0,0.0
Lilmix,10,0,0,0.0
PCIFIC Espor,10,0,0,0.0
Rapid Lofi,10,0,0,0.0
Team NKT Academy,10,0,0,0.0
Team Solid,10,0,0,0.0
XGOD,10,0,0,0.0
unsigned,10,0,0,0.0
Aussie and Friends,9,0,0,0.0
BAAM Esports,9,0,0,0.0
DOT EXE,9,0,0,0.0
DRX Changers,9,0,0,0.0
Farenvehn,9,0,0,0.0
KIMMY KITTENS,9,0,0,0.0
LONETEAM,9,0,0,0.0
MIBR Academy,9,0,0,0.0
Niory Esports,9,0,0,0.0
Nova Esports GC,9,0,0,0.0
RIVAL,9,0,0,0.0
RTZN,9,0,0,0.0
Twisted Minds Orchid,9,0,0,0.0
Vila do Zana,9,0,0,0.0
XERXIA Esports,9,0,0,0.0
sisu,9,0,0,0.0
Acai Underworld,8,0,0,0.0
Arena Internet Cafe,8,0,0,0.0
BBL Queens,8,0,0,0.0
BLX CORP,8,0,0,0.0
Blinn,8,0,0,0.0
FOKUS Sakura,8,0,0,0.0
GnG Esports,8,0,0,0.0
JiJieHao,8,0,0,0.0
Killer Angel Girls ESC,8,0,0,0.0
Lunar,8,0,0,0.0
Meteor,8,0,0,0.0
Moist x Shopify,8,0,0,0.0
Otakar Esports,8,0,0,0.0
QT DIG∞,8,0,0,0.0
WYLDE,8,0,0,0.0
fOu Clan,8,0,0,0.0
5HEAD,7,0,0,0.0
9z Team GC,7,0,0,0.0
ARF TEAM,7,0,0,0.0
AURA,7,0,0,0.0
Ainda estamos aqui,7,0,0,0.0
Coalesce,7,0,0,0.0
Hakikimori,7,0,0,0.0
Hakikimori GC,7,0,0,0.0
Hornswogglers,7,0,0,0.0
IGNITE,7,0,0,0.0
Legacy Kingdom,7,0,0,0.0
MAD Army,7,0,0,0.0
ONSIDE GAMING,7,0,0,0.0
PR0NETS,7,0,0,0.0
RvN,7,0,0,0.0
S2 Esports,7,0,0,0.0
SCARZ,7,0,0,0.0
Team Flash,7,0,0,0.0
Team France,7,0,0,0.0
Team Spain,7,0,0,0.0
Team Türkiye,7,0,0,0.0
Todak,7,0,0,0.0
Zerance,7,0,0,0.0
AlQadsiah Corals,6,0,0,0.0
BABO,6,0,0,0.0
BOBA,6,0,0,0.0
Catnappers,6,0,0,0.0
DVM Miss,6,0,0,0.0
Dragon,6,0,0,0.0
ELEVATE,6,0,0,0.0
EOTO,6,0,0,0.0
FAV gaming,6,0,0,0.0
FIVE Media Clan,6,0,0,0.0
Fisher Fumblers,6,0,0,0.0
Himothys,6,0,0,0.0
Kebab Clan,6,0,0,0.0
La Familia,6,0,0,0.0
Lootcifer,6,0,0,0.0
Misa Esports,6,0,0,0.0
NASR Esports,6,0,0,0.0
No Sweat Blossom,6,0,0,0.0
Odd 1 OUT,6,0,0,0.0
Precision Power Quickness,6,0,0,0.0
Prosperity X,6,0,0,0.0
R8 Esports,6,0,0,0.0
Rare Atom,6,0,0,0.0
Sin Prisa Gaming,6,0,0,0.0
Sissi State Punks,6,0,0,0.0
Stellae Gaming GC,6,0,0,0.0
Surrenderers,6,0,0,0.0
Team Germany,6,0,0,0.0
Team Leveling,6,0,0,0.0
Trace Esports GC,6,0,0,0.0
revoada,6,0,0,0.0
100 Thieves GC,5,0,0,0.0
3BL Esports,5,0,0,0.0
6GPA,5,0,0,0.0
A nova onda do Imperador,5,0,0,0.0
Ambitious Legend Gaming,5,0,0,0.0
Antares Esports GC,5,0,0,0.0
Aura,5,0,0,0.0
BLUE BEES.ESP,5,0,0,0.0
BONK,5,0,0,0.0
Berzerkers Dawn,5,0,0,0.0
CONFIGSTARZ,5,0,0,0.0
CRG,5,0,0,0.0
Chosen Clique Gaming,5,0,0,0.0
Cloud9 x Shopify Rebellion,5,0,0,0.0
DSYRE,5,0,0,0.0
DaiZhu,5,0,0,0.0
Diamant Esports,5,0,0,0.0
Dream Chaser,5,0,0,0.0
Evolution,5,0,0,0.0
FLUFFY AIMERS,5,0,0,0.0
FTW Leça FC Esports,5,0,0,0.0
Furious Gaming,5,0,0,0.0
GOOD BOY,5,0,0,0.0
HaoXiang Gaming,5,0,0,0.0
Hypa Hypa Esports,5,0,0,0.0
ILLICIT,5,0,0,0.0
Koopa Troopas,5,0,0,0.0
Las Cabras GC,5,0,0,0.0
Lemonade Stand,5,0,0,0.0
Mak N Cheese,5,0,0,0.0
Mir Gaming GC,5,0,0,0.0
NOBLES,5,0,0,0.0
REIGNITE Lily,5,0,0,0.0
Refrag,5,0,0,0.0
Rub n' Pug,5,0,0,0.0
SKÅL Esports,5,0,0,0.0
Soi Thai Esports,5,0,0,0.0
TUMT Shark,5,0,0,0.0
Team IAM,5,0,0,0.0
Team Italy,5,0,0,0.0
Team Unicorn,5,0,0,0.0
Team United Kingdom,5,0,0,0.0
Tenax GC,5,0,0,0.0
TwentyStars,5,0,0,0.0
Twisted Saints Esports,5,0,0,0.0
Unsigned5,5,0,0,0.0
VINA SIDE HUSTLE,5,0,0,0.0
Vila das Flores,5,0,0,0.0
Wygers,5,0,0,0.0
YDZ Black,5,0,0,0.0
YaoGuang,5,0,0,0.0
Yung,5,0,0,0.0
^-^,5,0,0,0.0
dORA,5,0,0,0.0
esports team αD,5,0,0,0.0
kessoku band,5,0,0,0.0
mesos millionaires,5,0,0,0.0
oomfies,5,0,0,0.0
AKA HERO,4,0,0,0.0
Alliance Angels,4,0,0,0.0
Alternate Realities,4,0,0,0.0
Artificial Intelligence,4,0,0,0.0
Ascend,4,0,0,0.0
Asterisk Women,4,0,0,0.0
Australs,4,0,0,0.0
Bun N' Gun,4,0,0,0.0
Colors Esport,4,0,0,0.0
DINGLE GOOGY,4,0,0,0.0
Equinox,4,0,0,0.0
F9 EICAR,4,0,0,0.0
FULL BOX 200,4,0,0,0.0
FlyQuest RED x LEVIATÁN,4,0,0,0.0
Fraggerz,4,0,0,0.0
Fruit Ninjas,4,0,0,0.0
Genziary,4,0,0,0.0
HAVU Gaming,4,0,0,0.0
HellGuardians Esports,4,0,0,0.0
HooK Esport,4,0,0,0.0
K7 Esports,4,0,0,0.0
KADILIMAN,4,0,0,0.0
Lyost,4,0,0,0.0
Mania,4,0,0,0.0
Marlon N Friends,4,0,0,0.0
