match_id,team1,team2,team1_score,team2_score,winner,status,event,tournament
538569,TYLOO,Titan Esports Club,1,2,,Completed,Main Event–Quarterfinals,China Evolution Series: Act 3
530364,TALON,Rex Regum Qeon,2,3,,Completed,Playoffs–Lower Final,VCT 2025: Pacific Stage 2
530514,Team World,Glory Once Again,13,8,,Completed,Showmatch–Main Event,VCT 2025: Pacific Stage 2
530911,NRG,Cloud9,2,1,,Completed,Playoffs–Lower Round 3,VCT 2025: Americas Stage 2
530910,Sentinels,G2 Esports,0,2,,Completed,Playoffs–Upper Final,VCT 2025: Americas Stage 2
530933,GIANTX,Natus Vincere,2,1,,Completed,Playoffs–Lower Round 3,VCT 2025: EMEA Stage 2
530932,BBL Esports,Team Liquid,1,2,,Completed,Playoffs–Upper Final,VCT 2025: EMEA Stage 2
538568,Wolves Esports,Bilibili Gaming,2,1,,Completed,Main Event–Round of 12,China Evolution Series: Act 3
538567,JDG Esports,Xi Lai Gaming,2,0,,Completed,Main Event–Round of 12,China Evolution Series: Act 3
532798,Winthrop University,TSM,0,2,,Completed,Playoffs–Lower Round 2,Challengers 2025: North America ACE Stage 3
538879,KTANA Esports,MichiLovers,2,3,,Completed,North–Decider,Challengers 2025: LATAM ACE Promotion/Relegation
532799,Cubert Academy,Maryville University,2,1,,Completed,Playoffs–Lower Round 2,Challengers 2025: North America ACE Stage 3
538886,Las Cabras,Zen eSports,1,3,,Completed,South–Decider,Challengers 2025: LATAM ACE Promotion/Relegation
538566,Nova Esports,EDward Gaming,2,0,,Completed,Main Event–Round of 12,China Evolution Series: Act 3
538565,Titan Esports Club,Dragon Ranger Gaming,2,1,,Completed,Main Event–Round of 12,China Evolution Series: Act 3
528186,SLT Seongnam,ONSIDE GAMING,3,1,,Completed,Main Event–Lower Final,Challengers 2025: Korea WDG Road to Ascension
538877,FUEGO,KTANA Esports,3,1,,Completed,North–Winner's,Challengers 2025: LATAM ACE Promotion/Relegation
532792,Cubert Academy,ENVY,1,2,,Completed,Playoffs–Upper Semifinals,Challengers 2025: North America ACE Stage 3
538878,MichiLovers,RANKERS LAN,2,1,,Completed,North–Elimination,Challengers 2025: LATAM ACE Promotion/Relegation
532793,Winthrop University,QoR,1,2,,Completed,Playoffs–Upper Semifinals,Challengers 2025: North America ACE Stage 3
538884,Las Cabras,Australs,2,3,,Completed,South–Winner's,Challengers 2025: LATAM ACE Promotion/Relegation
538885,Dolphins Gaming,Zen eSports,0,2,,Completed,South–Elimination,Challengers 2025: LATAM ACE Promotion/Relegation
528185,ONSIDE GAMING,Dplus Esports,2,1,,Completed,Main Event–Lower Round 1,Challengers 2025: Korea WDG Road to Ascension
528184,SLT Seongnam,FEARX,0,2,,Completed,Main Event–Upper Round 1,Challengers 2025: Korea WDG Road to Ascension
524952,MYVRA GC,Contra GC,2,0,,Completed,North–Upper Semifinals,Game Changers 2025: LATAM Main Event
524951,Akave Esports GC,FUSION X,2,1,,Completed,North–Upper Semifinals,Game Changers 2025: LATAM Main Event
532797,Maryville University,Nightblood Gaming,2,1,,Completed,Playoffs–Lower Round 1,Challengers 2025: North America ACE Stage 3
532796,BOX OF ROCKETZ,TSM,0,2,,Completed,Playoffs–Lower Round 1,Challengers 2025: North America ACE Stage 3
536788,HGE Esport,Otakar Esports,0,2,,Completed,Playoffs–Lower Final,Challengers 2025: Spain Rising Promotion
536787,Suzaku Esports,Otakar Esports,0,2,,Completed,Playoffs–Lower Round 2,Challengers 2025: Spain Rising Promotion
521245,NAOS,Team NKT,2,0,,Completed,Playoffs–Upper Semifinals,Challengers 2025: Southeast Asia Split 3
521244,Motiv Esports,FULL SENSE,2,0,,Completed,Playoffs–Upper Semifinals,Challengers 2025: Southeast Asia Split 3
524940,University War GC,KRÜ BLAZE,0,2,,Completed,South–Upper Semifinals,Game Changers 2025: LATAM Main Event
524939,LEVIATÁN GC,Zen eSports GC,2,0,,Completed,South–Upper Semifinals,Game Changers 2025: LATAM Main Event
536784,KPI Gaming,HGE Esport,2,1,,Completed,Playoffs–Upper Final,Challengers 2025: Spain Rising Promotion
536785,Questionmarks,Suzaku Esports,0,2,,Completed,Playoffs–Lower Round 1,Challengers 2025: Spain Rising Promotion
536786,Otakar Esports,ex-DimoniX Esports,2,1,,Completed,Playoffs–Lower Round 1,Challengers 2025: Spain Rising Promotion
521243,Team NKT,Sharper Esport,2,1,,Completed,Playoffs–Knockout Round,Challengers 2025: Southeast Asia Split 3
521242,FULL SENSE,Z11,2,1,,Completed,Playoffs–Knockout Round,Challengers 2025: Southeast Asia Split 3
530909,Cloud9,100 Thieves,2,0,,Completed,Playoffs–Lower Round 2,VCT 2025: Americas Stage 2
530908,NRG,LEVIATÁN,2,0,,Completed,Playoffs–Lower Round 2,VCT 2025: Americas Stage 2
530931,Team Heretics,Natus Vincere,0,2,,Completed,Playoffs–Lower Round 2,VCT 2025: EMEA Stage 2
530930,GIANTX,FNATIC,2,0,,Completed,Playoffs–Lower Round 2,VCT 2025: EMEA Stage 2
527582,Dragon Ranger Gaming,Bilibili Gaming,1,3,,Completed,Playoffs–Grand Final,VCT 2025: China Stage 2
524997,RIDDLE ORDER,FENNEL,3,1,,Completed,Main Event–Grand Final,Challengers League 2025: Japan Finals
530905,100 Thieves,Evil Geniuses,2,0,,Completed,Playoffs–Lower Round 1,VCT 2025: Americas Stage 2
530904,LEVIATÁN,KRÜ Esports,2,1,,Completed,Playoffs–Lower Round 1,VCT 2025: Americas Stage 2
530927,Natus Vincere,Team Vitality,2,0,,Completed,Playoffs–Lower Round 1,VCT 2025: EMEA Stage 2
530926,FNATIC,Karmine Corp,2,1,,Completed,Playoffs–Lower Round 1,VCT 2025: EMEA Stage 2
527588,Bilibili Gaming,EDward Gaming,3,1,,Completed,Playoffs–Lower Final,VCT 2025: China Stage 2
524999,FENNEL,NOEZ FOXX,3,1,,Completed,Main Event–Lower Final,Challengers League 2025: Japan Finals
530907,NRG,G2 Esports,1,2,,Completed,Playoffs–Upper Semifinals,VCT 2025: Americas Stage 2
530906,Sentinels,Cloud9,2,1,,Completed,Playoffs–Upper Semifinals,VCT 2025: Americas Stage 2
530929,Team Liquid,GIANTX,2,1,,Completed,Playoffs–Upper Semifinals,VCT 2025: EMEA Stage 2
530928,Team Heretics,BBL Esports,0,2,,Completed,Playoffs–Upper Semifinals,VCT 2025: EMEA Stage 2
527587,EDward Gaming,Xi Lai Gaming,2,0,,Completed,Playoffs–Lower Round 3,VCT 2025: China Stage 2
527581,Dragon Ranger Gaming,Bilibili Gaming,2,1,,Completed,Playoffs–Upper Final,VCT 2025: China Stage 2
528179,T1 Academy,SLT Seongnam,3,0,,Completed,Playoffs–Grand Final,Challengers 2025: Korea WDG Stage 3
530903,G2 Esports,100 Thieves,2,0,,Completed,Playoffs–Upper Round 1,VCT 2025: Americas Stage 2
530902,LEVIATÁN,Cloud9,1,2,,Completed,Playoffs–Upper Round 1,VCT 2025: Americas Stage 2
530925,GIANTX,Natus Vincere,2,1,,Completed,Playoffs–Upper Round 1,VCT 2025: EMEA Stage 2
530924,FNATIC,BBL Esports,1,2,,Completed,Playoffs–Upper Round 1,VCT 2025: EMEA Stage 2
521240,Team NKT,FULL SENSE,0,2,,Completed,Group Stage–Week 5,Challengers 2025: Southeast Asia Split 3
527586,Xi Lai Gaming,All Gamers,2,1,,Completed,Playoffs–Lower Round 2,VCT 2025: China Stage 2
521239,Fancy United Esports,Sharper Esport,1,2,,Completed,Group Stage–Week 5,Challengers 2025: Southeast Asia Split 3
527585,TYLOO,EDward Gaming,0,2,,Completed,Playoffs–Lower Round 2,VCT 2025: China Stage 2
533520,Paintress,Stellae Gaming GC,1,2,,Completed,Main Event–Lower Final,Game Changers 2025: Brazil Last Chance Qualifier
532791,QoR,Nightblood Gaming,2,0,,Completed,Playoffs–Upper Quarterfinals,Challengers 2025: North America ACE Stage 3
532788,Cubert Academy,BOX OF ROCKETZ,2,0,,Completed,Playoffs–Upper Quarterfinals,Challengers 2025: North America ACE Stage 3
533515,TBS Esports GC,Não estamos aqui,2,0,,Completed,Main Event–Upper Final,Game Changers 2025: Brazil Last Chance Qualifier
524704,KOI Fénix,DNSTY,2,3,,Completed,Playoffs–Grand Final,Challengers 2025: Spain Rising Finals
531980,The Ultimates,Twisted Minds,0,3,,Completed,Main Event–Grand Final,Challengers 2025: MENA Resilience LAN Finals
521238,Oasis Gaming,TALON Academy,2,0,,Completed,Group Stage–Week 5,Challengers 2025: Southeast Asia Split 3
527579,Xi Lai Gaming,Dragon Ranger Gaming,1,2,,Completed,Playoffs–Upper Semifinals,VCT 2025: China Stage 2
521237,Xipto Esports,NAOS,0,2,,Completed,Group Stage–Week 5,Challengers 2025: Southeast Asia Split 3
527580,Bilibili Gaming,TYLOO,2,1,,Completed,Playoffs–Upper Semifinals,VCT 2025: China Stage 2
528183,SLT Seongnam,FEARX,3,1,,Completed,Playoffs–Lower Final,Challengers 2025: Korea WDG Stage 3
524950,Contra GC,Legiowon,2,0,,Completed,North–Knockout Round,Game Changers 2025: LATAM Main Event
532789,ENVY,TSM,2,0,,Completed,Playoffs–Upper Quarterfinals,Challengers 2025: North America ACE Stage 3
524949,FUSION X,No Sweat Blossom,2,1,,Completed,North–Knockout Round,Game Changers 2025: LATAM Main Event
532790,Maryville University,Winthrop University,1,2,,Completed,Playoffs–Upper Quarterfinals,Challengers 2025: North America ACE Stage 3
531978,Gamax Esports,Twisted Minds,0,2,,Completed,Main Event–Lower Final,Challengers 2025: MENA Resilience LAN Finals
531971,Gamax Esports,The Ultimates,0,2,,Completed,Main Event–Upper Final,Challengers 2025: MENA Resilience LAN Finals
521236,Team NKT,RRQ Academy,2,1,,Completed,Group Stage–Week 5,Challengers 2025: Southeast Asia Split 3
521235,Fancy United Esports,Team Secret Academy,2,1,,Completed,Group Stage–Week 5,Challengers 2025: Southeast Asia Split 3
528182,DRX Academy,FEARX,0,2,,Completed,Playoffs–Lower Round 2,Challengers 2025: Korea WDG Stage 3
528178,SLT Seongnam,T1 Academy,0,2,,Completed,Playoffs–Upper Final,Challengers 2025: Korea WDG Stage 3
531579,Teevee,Equinox,1,2,,Completed,Swiss Stage–Round 4 (1-2),Game Changers 2025: North America Stage 2
531582,Wadadaa,Mak N Cheese,2,0,,Completed,Swiss Stage–Round 4 (2-1),Game Changers 2025: North America Stage 2
531578,^-^,Alliance Angels,2,1,,Completed,Swiss Stage–Round 4 (0-3),Game Changers 2025: North America Stage 2
531575,YDZ Black,Hakikimori GC,1,2,,Completed,Swiss Stage–Round 4 (1-2),Game Changers 2025: North America Stage 2
533514,Não estamos aqui,Peipei Rex,2,0,,Completed,Main Event–Upper Semifinals,Game Changers 2025: Brazil Last Chance Qualifier
524938,KRÜ BLAZE,Gold Evictix,2,0,,Completed,South–Knockout Round,Game Changers 2025: LATAM Main Event
531574,FlyQuest RED,Ghost Gaming,0,2,,Completed,Swiss Stage–Round 4 (2-1),Game Changers 2025: North America Stage 2
531573,Shopify Rebellion Gold,100 Thieves GC,2,0,,Completed,Swiss Stage–Round 4 (3-0),Game Changers 2025: North America Stage 2
531576,Artificial Intelligence,Tenax GC,1,2,,Completed,Swiss Stage–Round 4 (1-2),Game Changers 2025: North America Stage 2
531581,YFP X,:3,2,0,,Completed,Swiss Stage–Round 4 (2-1),Game Changers 2025: North America Stage 2
531976,Twisted Minds,Team RA'AD,2,0,,Completed,Main Event–Lower Round 1,Challengers 2025: MENA Resilience LAN Finals
533508,TBS Esports GC,FRANQUIA 2025,2,0,,Completed,Main Event–Upper Quarterfinals,Game Changers 2025: Brazil Last Chance Qualifier
524937,Zen eSports GC,Las Cabras GC,2,1,,Completed,South–Knockout Round,Game Changers 2025: LATAM Main Event
521724,Twisted Minds,Gamax Esports,1,2,,Completed,Main Event–Upper Semifinal,Challengers 2025: MENA Resilience LAN Finals
521725,Team RA'AD,The Ultimates,1,2,,Completed,Main Event–Upper Semifinal,Challengers 2025: MENA Resilience LAN Finals
521234,Xipto Esports,Motiv Esports,1,2,,Completed,Group Stage–Week 5,Challengers 2025: Southeast Asia Split 3
528181,FEARX,Gen.G Global Academy,2,1,,Completed,Playoffs–Lower Round 1,Challengers 2025: Korea WDG Stage 3
521233,Oasis Gaming,Z11,2,0,,Completed,Group Stage–Week 5,Challengers 2025: Southeast Asia Split 3
528180,ONSIDE GAMING,DRX Academy,1,2,,Completed,Playoffs–Lower Round 1,Challengers 2025: Korea WDG Stage 3
509831,MIBR,LOUD,2,0,,Completed,Group Stage–Week 5,VCT 2025: Americas Stage 2
509830,G2 Esports,Cloud9,2,0,,Completed,Group Stage–Week 5,VCT 2025: Americas Stage 2
521599,Enterprise Esports,Team Liquid Academy,3,0,,Completed,Playoffs–Grand Final,Challengers 2025: NORTH//EAST Samsung Odyssey Split 3
511227,BBL PCIFIC,ULF Esports,3,0,,Completed,Playoffs–Grand Final,Challengers 2025: Türkiye Birlik Split 3
530363,T1,Rex Regum Qeon,1,2,,Completed,Playoffs–Lower Round 3,VCT 2025: Pacific Stage 2
530362,TALON,Paper Rex,0,2,,Completed,Playoffs–Upper Final,VCT 2025: Pacific Stage 2
509829,2Game Esports,Sentinels,1,2,,Completed,Group Stage–Week 5,VCT 2025: Americas Stage 2
509827,FURIA,Evil Geniuses,0,2,,Completed,Group Stage–Week 5,VCT 2025: Americas Stage 2
524280,Joblife,Mandatory,3,0,,Completed,Playoffs–Grand Final,Challengers 2025: France Revolution Split 3
521605,děti ulice,Team Liquid Academy,2,3,,Completed,Playoffs–Lower Final,Challengers 2025: NORTH//EAST Samsung Odyssey Split 3
528307,Eintracht Frankfurt,MOUZ,0,3,,Completed,Finals–Grand Final,Challengers 2025: DACH Evolution Split 3
530361,DRX,Rex Regum Qeon,0,2,,Completed,Playoffs–Lower Round 2,VCT 2025: Pacific Stage 2
530360,T1,Nongshim RedForce,2,0,,Completed,Playoffs–Lower Round 2,VCT 2025: Pacific Stage 2
509826,100 Thieves,LEVIATÁN,1,2,,Completed,Group Stage–Week 5,VCT 2025: Americas Stage 2
509825,KRÜ Esports,NRG,1,2,,Completed,Group Stage–Week 5,VCT 2025: Americas Stage 2
511581,Team Liquid,Karmine Corp,1,2,,Completed,Group Stage–Week 5,VCT 2025: EMEA Stage 2
528306,MOUZ,ALTERNATE aTTaX,2,0,,Completed,Finals–Semifinals,Challengers 2025: DACH Evolution Split 3
511580,FUT Esports,BBL Esports,0,2,,Completed,Group Stage–Week 5,VCT 2025: EMEA Stage 2
528305,Eintracht Frankfurt,FOKUS,2,0,,Completed,Finals–Semifinals,Challengers 2025: DACH Evolution Split 3
530359,Rex Regum Qeon,Gen.G,2,1,,Completed,Playoffs–Lower Round 1,VCT 2025: Pacific Stage 2
530358,Nongshim RedForce,DetonatioN FocusMe,2,0,,Completed,Playoffs–Lower Round 1,VCT 2025: Pacific Stage 2
532043,Nightblood Gaming,YFP,2,0,,Completed,Swiss Stage–Round 7,Challengers 2025: North America ACE Stage 3
518750,Stellae Gaming,Team Solid,3,1,,Completed,Playoffs–Grand Final,Challengers 2025: Brazil Gamers Club Split 2
532041,Blue Otter,Winthrop University,0,2,,Completed,Swiss Stage–Round 7,Challengers 2025: North America ACE Stage 3
532042,Legacy Kingdom,Landor,1,2,,Completed,Swiss Stage–Round 7,Challengers 2025: North America ACE Stage 3
525811,LEVIATÁN Academy,ShindeN,3,2,,Completed,Playoffs–Grand Final,Challengers 2025: LATAM South ACE Stage 2
511579,Gentle Mates,Team Vitality,1,2,,Completed,Group Stage–Week 5,VCT 2025: EMEA Stage 2
511577,GIANTX,Team Heretics,0,2,,Completed,Group Stage–Week 5,VCT 2025: EMEA Stage 2
530357,Paper Rex,T1,2,0,,Completed,Playoffs–Upper Semifinals,VCT 2025: Pacific Stage 2
530356,DRX,TALON,1,2,,Completed,Playoffs–Upper Semifinals,VCT 2025: Pacific Stage 2
528563,Winthrop University,ENVY,0,2,,Completed,Swiss Stage–Round 6,Challengers 2025: North America ACE Stage 3
525801,Six Karma,E-Xolos LAZER,2,3,,Completed,Playoffs–Grand Final,Challengers 2025: LATAM North ACE Stage 2
518754,RED Canids,Team Solid,2,3,,Completed,Playoffs–Lower Final,Challengers 2025: Brazil Gamers Club Split 2
528562,SaD Esports,Nightblood Gaming,1,2,,Completed,Swiss Stage–Round 6,Challengers 2025: North America ACE Stage 3
511576,Apeks,FNATIC,0,2,,Completed,Group Stage–Week 5,VCT 2025: EMEA Stage 2
511575,KOI,Natus Vincere,1,2,,Completed,Group Stage–Week 5,VCT 2025: EMEA Stage 2
530355,Rex Regum Qeon,T1,1,2,,Completed,Playoffs–Upper Round 1,VCT 2025: Pacific Stage 2
530354,TALON,Nongshim RedForce,2,0,,Completed,Playoffs–Upper Round 1,VCT 2025: Pacific Stage 2
528561,Blue Otter,Landor,2,0,,Completed,Swiss Stage–Round 6,Challengers 2025: North America ACE Stage 3
518749,Team Solid,Stellae Gaming,0,2,,Completed,Playoffs–Upper Final,Challengers 2025: Brazil Gamers Club Split 2
518753,RED Canids,2Game Academy,2,0,,Completed,Playoffs–Lower Round 2,Challengers 2025: Brazil Gamers Club Split 2
528559,YFP,Shopify Rebellion Black,2,1,,Completed,Swiss Stage–Round 6,Challengers 2025: North America ACE Stage 3
